mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.059729814529418945,0.001084497446743164,0.0056209564208984375,0.00016343148694056628,True,226,3,6,6,51,"OrderedDict({'bootstrap': True, 'max_depth': 226, 'max_features': 3, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 51})",0.3229166666666667,0.3229166666666667,0.3229166666666667,0.3229166666666667,0.0,34
0.07821273803710938,0.006686503318645292,0.00499113400777181,0.00022997210142880202,True,303,10,2,20,57,"OrderedDict({'bootstrap': True, 'max_depth': 303, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 57})",0.296875,0.328125,0.3125,0.3125,0.01275775907699572,46
0.15129566192626953,0.00738950038095835,0.008101383845011393,0.00017387699138911707,True,432,3,3,20,131,"OrderedDict({'bootstrap': True, 'max_depth': 432, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 20, 'n_estimators': 131})",0.328125,0.4392361111111111,0.3125,0.3599537037037037,0.056422869178407886,1
0.3875552813212077,0.007125324679130698,0.019818862279256184,0.00017627227187511945,True,424,2,3,9,406,"OrderedDict({'bootstrap': True, 'max_depth': 424, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 406})",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,7
0.17626142501831055,0.02171265454614019,0.008384943008422852,0.00014048715727166567,True,456,2,3,12,143,"OrderedDict({'bootstrap': True, 'max_depth': 456, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 143})",0.3333333333333333,0.3333333333333333,0.328125,0.3315972222222222,0.002455231879119948,13
0.15662455558776855,0.0035777034941237213,0.008996804555257162,0.00019067150626657841,True,52,3,4,20,152,"OrderedDict({'bootstrap': True, 'max_depth': 52, 'max_features': 3, 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 152})",0.328125,0.3333333333333333,0.3177083333333333,0.32638888888888884,0.006495932963149206,29
0.3074076175689697,0.021228232322663885,0.014924208323160807,0.0003987046048896674,True,435,3,2,7,290,"OrderedDict({'bootstrap': True, 'max_depth': 435, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 290})",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,7
0.12407191594441731,0.0013949123016712243,0.007250547409057617,0.00010230481684622669,True,419,3,8,20,112,"OrderedDict({'bootstrap': True, 'max_depth': 419, 'max_features': 3, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 112})",0.3177083333333333,0.3229166666666667,0.3125,0.3177083333333333,0.004252586358998581,40
0.19585720698038736,0.003300623503628727,0.010732094446818033,0.0001525633431266115,True,467,2,2,19,198,"OrderedDict({'bootstrap': True, 'max_depth': 467, 'max_features': 2, 'min_samples_leaf': 2, 'min_samples_split': 19, 'n_estimators': 198})",0.3333333333333333,0.328125,0.3177083333333333,0.32638888888888884,0.006495932963149206,29
0.15631532669067383,0.01176430016274452,0.00794823964436849,6.665788180070945e-05,True,384,3,6,19,133,"OrderedDict({'bootstrap': True, 'max_depth': 384, 'max_features': 3, 'min_samples_leaf': 6, 'min_samples_split': 19, 'n_estimators': 133})",0.328125,0.328125,0.3177083333333333,0.32465277777777773,0.004910463758239922,33
0.14099542299906412,0.0015322433962222093,0.008052984873453775,0.0002206229853478661,True,435,3,2,17,131,"OrderedDict({'bootstrap': True, 'max_depth': 435, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 17, 'n_estimators': 131})",0.328125,0.3333333333333333,0.3229166666666667,0.328125,0.004252586358998558,25
0.0721751054128011,0.00822067886828892,0.0051678816477457685,0.00025475486006332454,True,137,2,3,5,53,"OrderedDict({'bootstrap': True, 'max_depth': 137, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 53})",0.328125,0.3333333333333333,0.328125,0.3298611111111111,0.0024552318791199483,21
0.15056180953979492,0.010135143618066509,0.008819182713826498,0.00023456134169239177,True,51,2,10,7,152,"OrderedDict({'bootstrap': True, 'max_depth': 51, 'max_features': 2, 'min_samples_leaf': 10, 'min_samples_split': 7, 'n_estimators': 152})",0.3072916666666667,0.328125,0.3177083333333333,0.3177083333333333,0.00850517271799714,40
0.09723019599914551,0.006369525264332444,0.006122907002766927,0.00018362816049404495,True,66,10,10,19,87,"OrderedDict({'bootstrap': True, 'max_depth': 66, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 19, 'n_estimators': 87})",0.296875,0.4392361111111111,0.3177083333333333,0.35127314814814814,0.06277801677000286,4
0.5061029593149821,0.018712171260539312,0.023421764373779297,7.898554806054064e-05,True,437,10,10,6,495,"OrderedDict({'bootstrap': True, 'max_depth': 437, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 495})",0.296875,0.328125,0.3125,0.3125,0.01275775907699572,46
0.5298334757486979,0.007241685408866301,0.023771286010742188,0.0001339625319905553,True,500,9,3,7,499,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 9, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 499})",0.3333333333333333,0.3333333333333333,0.328125,0.3315972222222222,0.002455231879119948,13
0.07208442687988281,0.0030380181188526,0.005193233489990234,7.387232088602514e-05,True,425,10,10,13,66,"OrderedDict({'bootstrap': True, 'max_depth': 425, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 13, 'n_estimators': 66})",0.296875,0.43402777777777773,0.3177083333333333,0.349537037037037,0.06034633873254031,5
0.07194749514261882,0.005736286213479662,0.005210002263387044,0.00023174697421431245,True,45,10,8,14,63,"OrderedDict({'bootstrap': True, 'max_depth': 45, 'max_features': 10, 'min_samples_leaf': 8, 'min_samples_split': 14, 'n_estimators': 63})",0.296875,0.3333333333333333,0.3177083333333333,0.31597222222222215,0.014934592477504552,44
0.05902695655822754,0.005434467271354641,0.005742867787679036,0.0009026913705427682,True,75,8,10,20,51,"OrderedDict({'bootstrap': True, 'max_depth': 75, 'max_features': 8, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 51})",0.2864583333333333,0.4444444444444444,0.3072916666666667,0.3460648148148148,0.07008290608981987,6
0.06961822509765625,0.004340129261462051,0.004781325658162435,7.399951789569553e-05,True,279,9,10,6,51,"OrderedDict({'bootstrap': True, 'max_depth': 279, 'max_features': 9, 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 51})",0.296875,0.3177083333333333,0.3072916666666667,0.3072916666666667,0.00850517271799714,50
0.07657559712727864,0.014018224666930463,0.0060346126556396484,0.0006085304383017146,True,372,3,3,20,50,"OrderedDict({'bootstrap': True, 'max_depth': 372, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 20, 'n_estimators': 50})",0.3229166666666667,0.43402777777777773,0.3125,0.35648148148148145,0.05499816838202184,2
0.08766333262125652,0.0057068835820681925,0.006176074345906575,0.0009348178414788597,True,495,2,3,20,69,"OrderedDict({'bootstrap': True, 'max_depth': 495, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 20, 'n_estimators': 69})",0.3229166666666667,0.3229166666666667,0.3177083333333333,0.3211805555555556,0.002455231879119974,36
